Equipamento;Denominação do objeto técnico;Centro planejamento;Código ABC;Campo de ordenação;Centro custo;Ctg.equipamento;Local de instalação;Denominação do loc.instalação;Status do sistema;Empresa;Centro de trabalho;Tipo objeto técnico
PLT008;TRANSPALETEIRA ELETRICA;1000;C;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
PLT009;TRANSPALETEIRA ELETRICA;1000;C;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
PLT010;TRANSPALETEIRA ELETRICA;1000;C;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;MONT;1010;;
PLZ001;POLITRIZ;1000;H;NÍVEL 2 - MÉDIO;PB2-82310;M;1000-METRO;METROLOGIA;MONT;1010;;ESP
PMA005;PRENSA MANUAL;1000;F;NÍVEL 1 - FÁCIL;PB2-81140;M;1000-FABCE-USINA;FÁBRICA CENTRAL USINAGEM;MONT;1010;;PMA
POL001;POLICORTE;1000;B;;PB2-81130;M;1000-FABCE-ESTAM;FÁBRICA CENTRAL ESTAMPARIA;INAT MONT;1010;;
PRE001;PRENSA DE EMBUTIMENTO;1000;F;NÍVEL 2 - MÉDIO;PB2-82310;M;1000-METRO;METROLOGIA;MONT;1010;;ESP
PRG001;;1000;H;NÍVEL 1 - FÁCIL;PB2-82620;M;1000-ALMOX;ALMOXARIFADO;INAT MONT;1010;;
PRG002;PREGADEIRA DETACK C23/57-A1;1000;H;NÍVEL 1 - FÁCIL;PB2-82640;M;1000-EXPED;EXPEDIÇÃO;MONT;1010;;
PRG003;PREGADEIRA DETACK C23/57-A1;1000;H;NÍVEL 1 - FÁCIL;PB2-82640;M;1000-EXPED;EXPEDIÇÃO;INAT MONT;1010;;
PRG004;PREGADEIRA DETACK C23/57-A1;1000;H;NÍVEL 1 - FÁCIL;PB2-82640;M;1000-EXPED;EXPEDIÇÃO;MONT;1010;;
PRG005;;1000;H;NÍVEL 1 - FÁCIL;PB2-82640;M;1000-EXPED;EXPEDIÇÃO;INAT MONT;1010;;
PRG006;PREGADEIRA;1000;H;NÍVEL 1 - FÁCIL;PB2-82640;M;1000-EXPED;EXPEDIÇÃO;MONT;1010;;
